Name,Logo,Site,Funding Rounds,Location(s),Notes
MESA+,ko8froscpgzwrhcycumr.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/1vuoJ6W2sKVS5PYUvvc2mw/tOL-3s43hQU3vsQN78E_J_JndgqJlXCnyeMCWRiZxwu5EqygVPTWI4dyMozEUyM-/aWFTw0y1Ao8Ek4Zns6-oDsglXtwu06T8CTo5Qsd4h3I),http://www.mesa.vc/,MESA+ I,"""New York, NY""",
Metamorphic Ventures,,,Metamorphic Ventures II,SF Bay Area/Silicon Valley,See: Compound
MHS Capital,73921d89300aa788bdd79b1348fed802.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/7q16WKxnDoqj8CAiFW5tqw/nY4QUoaWMN7FjJ9ZFQix6a2mKLZUrA6jBqZR3EVTLtE7Zkeak9mgP8Y1Q0eSMupBBsNzMwnljwYv4A2rIEtNxg/DW6ZSoqu8bSHNf4_lHE2oMQpiJe6JG877nUgQf09kW0),http://www.mhscapital.com/,MHS Capital II,SF Bay Area/Silicon Valley,
MissionOG,vdrgjcsoziwnrjdl9nyy.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/K7wpZeSc9XZJan_mBUF0-Q/cgWuB7AISQSOE4ii3-T6Ld_vzNW1uLjJ24pdQDe6mz4xvwkaOcU_mGuWXbQsKe04/7FIc9pZsiqZiueiyG3imUjsGQgYBrxoHLJlTgnrr-94),http://www.missionog.com/,MissionOG I,Philadelphia,
Moneta Ventures,wonohuupyif1jsyjkowr.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/0yYeGGTM8kQaZHJBAaERPQ/sVzcKCvFlcvNtN7q0kSG9MKkwtepSDDlFcSDbBgWanGDZL0GZylwPEwwvMax9lnQ/RXGtX5VwIGJ67obo8_gUM8_Pgo7ax9lTiBQMek8-DAc),http://www.monetaventures.com/,"Moneta Ventures II,Moneta Ventures I","""Sacramento, CA""",
Mosaic Ventures,ghwfuxu8zrotqrlkuk3f.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/YJnquMXR7KjCAfYCw5YzMg/jDzyP4yR7xHV9OJRwQeUpbWqwStf8Im6ORBdQFQTPkae2IZ7hky3D3wPstmdUlxS/R965zAEOGn3rXdRtPODWdROgcKCYCCtruApd-oXROkU),http://www.mosaicventures.com/,Mosaic Ventures I,London,
Mucker Capital,pkfzm1c7kyfkrpi4xhuc.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/sL-40E0TuRS4P_55a2NJHw/92AUiCYIqwcifhxcYd9ePV37dsN6E6EBlP7NbqyvhhOTg5EaZJ3jGJ5lQYzu-vSY/M3fsY0pdUdOSVIE2hV5jwi7FO2uSDpzHyS0Q0KZ_HoA),http://www.muckercapital.com/,Mucker Capital III,Los Angeles,
MuckerLab,qxvkrl6xsngj9amcvg5j.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/7y7L3ZCYt0lCzJ33OutuYw/VWLP_4ykvMzN0U3x4Wn5bKhGUdCEJFHy-e29cp58RIhAFNnW-OEwp4PX4Ka7xVA5/5k96UiWMH8pOjZv2pR_xmhDxnoHywGacOcpwOp4eb0o),http://www.muckercapital.com/muckerlab/about/,MuckerLab I,Los Angeles,
NextView Ventures,hmwrhbyjp7gsxuwirwno.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/XzYgyFBUSwT1IU4X20JWQw/901cTxG07dImQ5PyjkxJ_B-IkgEeH1WJJM5pO0kMTBQJnfPsntzQVeZqQ7Akznn-/DOKWyhWwh-UbQlXthFE57kaW9mxKcMYc8lnLRtNVggA),http://www.nextviewventures.com/,"NextView Ventures II,NextView Ventures I","Boston/Cambridge,""New York, NY""",
Noro-Moseley Partners,50cd8e98ace94d8815fc8f7094dd204d.gif (https://v5.airtableusercontent.com/v1/15/15/1678500000000/mBkd12IYaioQFp8PVsQcXQ/KYy6PX2z0g7qNuefPRR97Xyk9HMQwr6a-sw-yk9w9MTyVo-6y9XkP9HhOXmmG6_K9G1YCbuRh9N9QoROQ_Cm2Q/zO7081kziUJgCn3A2NeeFW01sRc3-aeEM_2TqvljV3k),http://www.noromoseley.com/,Noro-Moseley Partners VII,Atlanta,
Notation Capital,cy68j5qcibhroqkobjdy.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/fWA4rSD9GqrxK4sczd7rdg/_IRjsGuG2C58hhBBTrf1lGsiUUnhVP55nrV11U4XOvd6P95LG9qsAe8neR3Ig02w/FyrhpTEi_iTirG_JGAK5ue9jUHa8QgR_fDEQDSnOBrI),http://notationcapital.com/,Notation Capital I,"""New York, NY""",
Nova Founders Capital,xyv2qhk47uu864d6gomz.bmp (https://v5.airtableusercontent.com/v1/15/15/1678500000000/FtFI3vC2YIAXZEsAUoAmNA/6P4urjL7vkCyIwOKa-SBFvzQE1lCiOThL0sTe7fYyRqPNNW9myEswrsxYIu1irrw/D7dioGt7Nr1V1-FgP2ja6TyZPJbXDfrvX4X-_MLZkl4),http://www.novafounders.com/,Nova Founders Capital I,Hong Kong,
Obvious Ventures,qpbhuntylidoa9lzmrd2.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/caU2YPzAlQSNE_5BLdhE9Q/dYl0ZChlrzq8eBCMw6NvEQPl4DX3Ho_0BvXzqt4bly0STigh5MauOBVOgVwrbNtm/PyfxEA8uEmCmSeo7RNr6WLss4y72BWJINl6p20Rc_v8),http://www.obvious.com/,Obvious Ventures I,SF Bay Area/Silicon Valley,
Okapi Ventures,e8877bd3ac8c99a0bbb6a684ee0175fe.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/ob5054THq-bQoYlwwbIgKA/hPPbdqkGVuGHjRcrpBObYz7CJqNQfl1V62w6ySqs1fdbDVQ3DNFjT5-X2_jL0XGYFemTE2lAPhlKvegtc7qJZQ/ExXd6imLxQPR2mjWG1U1kw2_i67sOg58J0wUSsQaGJc),http://www.okapivc.com/,Okapi Ventures II,Los Angeles,
OpenView,lrlk66iawygb25bcybq2.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/8DWviIAFz9soUCvO0X2now/ghuBz69tPa0idbMi1pTRYMTef_U5VPP-uZwuYwRJ56Be4la3YtalDMCHZO9aZfDv/Q2WfgXH7IQx-vUy31kdZacD40iGtFbuWWhzHaTGY-xk),http://www.openviewpartners.com/,OpenView III,Boston/Cambridge,
OS Fund,txz83w5qkkp08p6v4oeo.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/rkDH8wZHZCszBiBscf5mQA/DZQf6c5RTj1orz7Y-9qM7eL75Z8r5eUBhKTyaOqsHpF1F5cN_oE1xs4U1fUfo-Xh/ECCpKFQIh6OlgtYJ3h-4-C0lVAVT1HZ4Ch2eo_mQmyU),http://osfund.co/,OS Fund I,"""Washington, D.C.""",
Passion Capital,usoch7rjz7nxck5dsrbl.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/nqkvXXWvicsLkb53sTuZ-Q/_Sob6m6Hb2-OTmnw2nbDnKvdADS-qFgR39UlDij5KdaYMYGu1APXoiUTK3y0vK7D/4nvwVf2Knw5mAZlVEHtIZ_RMMMbVf2bnDFNBNtUnN-Y),http://passioncapital.com/,"Passion Capital II,Passion Capital I",London,
Peak Ventures,osz1kmshht7jjs01swbd.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/6fRYIutXj7MtVK8laq8bXA/_w2ptAIBxWgGRD6JceybwsByIV45xkJ-cfQq2Dt-z0MvJ0NoznHgLB9VShTm6dIw/gIOcc5TqDjmnqfwWCaBOFm4_Jejz4qcGjDUygYU-Lp0),http://peakventures.vc/,Peak Ventures I,"""Provo, UT""",
Pear,divo6dyu5rzscvyrbbdl.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/BNd7Ko6m7wcGxGuesrZFfQ/XszAaUl9xMNg0AFnTrVmAwHCsQSnjKfpRkThQGtvtT6NCFt1BodWKeD-njrQaQE6/gWH_5mzPO8oRN15XIoNJClftkIIefwpjLm4SER4xrR0),http://www.pear.vc/,Pear II,SF Bay Area/Silicon Valley,
Pejman Mar Ventures,,,Pejman Mar Ventures I,SF Bay Area/Silicon Valley,See: Pear
Pelion Venture Partners,c01cda23b1c8153e87bc37b324ec5fec.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/2c1jM5M4rIYsap2u5sI31w/XamW5jMbkb0P9UvCXISeJA4uNQ8JP7UbaJ-P5dRFMvmL_Ajq8Y42jgzN2zzXaww5VPdykGb8lUybpeKXsx50ww/snhL_LRHuBmi1iPPran5dIthj1nmH_VlNDLFmC6YiTA),http://pelionvp.com/,Pelion Venture Partners V,"""Salt Lake City, UT""",
PivotNorth Capital,b2563a9094876f6fa66dd9e735880862.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/p30EbUvkEE7gJb6YesLwEg/59PIwwjzQMoMMQB9UCm2x4KKwGeq8DIXZz3wm3xNKjPNr80HsTzN6mu_nPkx3KhQJ9tlkKcevBVlzPvkOqHmMg/W-9U38yQ5K5gIGrqfQmUxWDFxoSfQKC5bxFDPWS3gv0),http://www.pivotnorth.com/,"PivotNorth Capital II,PivotNorth Capital I",SF Bay Area/Silicon Valley,
Playground Global,ob3kf09bbiqjrxltswko.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/jetUt8K70QkwsSE2pzkmjQ/AVi2LndW4n4lO_z_QQSvn0-C1Cz5YeqKgFqIBvik1QIm3m5kGgs1U_mrkY5cZ17f/BQEVzfN-lw8vqTin3bYEY69tlof_cC0QbrP7viZusEM),http://playground.global/,Playground Global I,SF Bay Area/Silicon Valley,
Point Nine Capital,jtgnu1jvkrf8ydy4y5nt.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/vDaXbSO-4aPve29CA71OMw/d-GT6hZ26W4Q2B95s3BhKa_0rPKy2Nd5ibpXftXETcmkd6-Y1_EijGsF3hODPKk3/YZ7ZgqbSeaL1AEBTVT66t01va_duDOOc331cklvm8zg),http://www.pointninecap.com/,Point Nine Capital II,Berlin,
PowerFund,,,PowerFund II,"""Boulder, CO""",
Precursor Ventures,nf3opil6xjv3nz5zlg78.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/16R5iIb-1bOfOKPUZPqcFw/KcIDN7h3kpg4Ky3M2Yo0favO9lSC10D849-IeNVHFA3_CpBTyMpFWxjn0mODIArZ/DQ0zuBnYK31W1o-Qc79bIDbIa8E11ZpM3PhOXV-oUvs),https://angel.co/precursor-ventures,Precursor Ventures I,SF Bay Area/Silicon Valley,
Primary Venture Partners,ahekqihowyaphit87vnp.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/07uWBInFf3I8XY-piJ-0Jg/7gmi1dtkpIy1AXeeZqILkBqvXLI-kf92YJFldTZI7tpPq-wpGA1VyenXCSqUXDZL/pFy-PX5otkBFTG3V0G78xRxSiIZ8Xbzi-u5m-FDYrsU),http://www.primary.vc/,Primary Venture Partners III,"""New York, NY""",
Progress Ventures,aks303m7hhgmjbdpfsy7.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/Q0C4Ig0JU3qCNp4_yFbYfA/XzAgilJigv1Z1ffzusivUIEZVbL3Lwpn0OoayGxdQmuI9OSOTxEtfBwDF-G5Pbm1/E3-l6yE_ch1jUSrd4FUFxDUAVk8xUmZs1PzYqF_ZqGk),http://www.progressventures.com/,Progress Ventures III,Boston/Cambridge,
Raptor Ventures,3c0043241b9933e819d69ba5afa0317c.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/npLXNu-Vmbo5GULHqv7ytg/Mx-1JZlDH4lkmMKMWSrhnlgUFQmERyTXrfPMKomEI8mfzeCVFuzFffYJOHk-HbiC2JXWfOKuXlnlQH2U9IQ5rw/wh8_TSUWX3UauNWaiTgb9n0gGJfhaBzIZRbpqxrtRys),http://www.raptorventures.com/,Raptor Ventures I,"""New York, NY""",
Reach Capital,ej9h46eolyuczsiguqjm.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/EZVMzdbjekyvC4HcK0e_mA/QirxmJd2snpxx8CHSJbZ7dtaeNXKcGDC4oYp_zs-W3l4cxsni-nmg4E08SBI3Uh0/kNBeU0FJFuT5Fnf4qUozCYYfgiHhVKGsAPBcmoKfuvU),http://reachcap.com/,Reach Capital I,SF Bay Area/Silicon Valley,
Real Ventures,u09q6sus2p8wzhxjbppj.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/_mJsvoHVA4j1AtxpG3vI1A/9cC07Rk4BeovjzwPViJNkH7dQpwTeRP-WfzGPBUZKaVIkyYxcd2rNTepDSjpVwxf/hjyOEa1Ru6ShTB56f2xtVCufATmzkXGC0FVv83CmOew),http://realventures.com/,Real Ventures III,Montréal,
Red Sea Ventures,y4qesjn9d2dvbwhvabz0.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/f1WRg3Q7HeMDPK1RpZcNdw/Oqb_4EOFd-4srsxWrqyNCz6RTWElj1iRmwQe3X3n3CCpeJG8So2-VKohTtp6gu0j/m6IF2533821L6sIiW3zflYntaklPEUN-hQFVRWpLxlQ),http://www.redseaventures.com/,Red Sea Ventures I,"""New York, NY""",
Refactor Capital,cqi5uuyxlwlkc3dqj9zz.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/15flj2Ds_7mcC9__-89-6g/QYAJzGbDXk7qOSjZqN37easuKTI8eK9dqJyf-u8GQnLYLTFzrbop_dT8rijq9v33/K__VXlF0pntN6Y_mxnVUgEijc5JCU4WFEVl8r5wiA_g),http://www.refactor.com/,Refactor Capital I,SF Bay Area/Silicon Valley,
Relay Ventures,oz86kpvqcw3tlgpwjryk.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/qsIfoyqnzcOp3fm4hgaTKA/nF_C7j-5mkO6vjQYi8ZyFRuHdYrWbMNBlKh3ayCF3q-Ca_E1zilNP1l848ij7Uq3/QIK6BLMtoj_r6KcJF2ee5LtvvPqakRxhwU6fVvnjDmk),http://relayventures.com/,Relay Ventures VIII,"SF Bay Area/Silicon Valley,Toronto",
Resolute Ventures,ut0ib5cup0seeuihlesi.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/uhXgRhsU9QzVRvijuzg9Wg/npAJ3U8MAt_P2SjBACMDI6qM89l2LShx7U7diDFIePeFcu2l0aST1QJR4MtY_ZuF/KoGRSMI27WBhVFmGFH4MBR21dYGP2B9fK4-g19_SQpg),http://www.resolute.vc/,"Resolute Ventures II,Resolute Ventures I","Boston/Cambridge,SF Bay Area/Silicon Valley",
Revolution Ventures,0840a1776e056fe59860ed2935cf3bb5.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/IR91pl5fAdNvLTGIwIY38w/WNMB8kCu3wK7jt7Wf0_ygXmcnVtz0Gcv3wKFWNq4XdJ1wph7VHSTsR9VA3Cv_7auSz9hxVrfQyonyrOd4bbYQg/4LjKwVFp_q4iWv-ZDNrHaNOi5s7NAo-3vflYh3JlZ8s),http://www.revolution.com/entity/ventures/,Revolution Ventures I,"""Washington, D.C.""",
Ribbit Capital,19b49e1d50774c3aaa67084cca77cfd5.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/sBaAoiLtTaI-2qRMxQzCpQ/xvzITRGJyv7HHU-YEFI-spTEyPfQXqMzJYrplfqNqMfEicCKv4LKTX5G_8JSd6kwrFqY46L7o0nTjAdrp05zXQ/1eyPlIJwU6PNm1yYCR3YvNNvSvZ1wx4M9OyGzUPnIDk),http://ribbitcap.com/,"Ribbit Capital II,Ribbit Capital I",SF Bay Area/Silicon Valley,
Rise Capital,7faf8e87f06b1e7545c158c19fbf5b1e.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/RmhFMemxw2NyzIkBf_i2Mg/FmPqhdXBJAJ5hmX7nkLAEz4LyJSX10eV_0H6UXqU2R_mRw4OblL1KI6ZoewDafW-6BO6CRorl_RJnaSprfyNIg/g9tsPXJ3DcnWsV2xtKE6V9QX1r1qDK_5oZ9crLRVvrk),http://risecapital.com/,Rise Capital I,SF Bay Area/Silicon Valley,
Rittenhouse Ventures,ly3t8sdhesk7yr2w3ti4.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/pBf1J6ImYEa2hsY9vr1oOw/niu2awFsAddfoNXl1VjcXjx3uhBmdtCck-XroYzF0G80Md4qf2BegYvI4-2W_sjF/Y31ejP1-ie2rkBYtTizl10ARB-vB9M2Vw837oiX3OOc),http://www.rittenhouseventures.com/,Rittenhouse Ventures II,Philadelphia,
Romulus Capital,cybthc9t9zt5k1cz9iyo.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/b9PxslqyoWXT7SHFtr7B_A/-vGFqQibIr3Fcynu7XVsrxlLj5blqrjPlUKgYEyzvr_2ru40NGR_0yDFm5PJqiSm/ywqoafzx8NlEM9BIiegD_gALmQoDD3PYwhXmUEdKRWs),http://romuluscap.com/,"Romulus Capital III,Romulus Capital I",Boston/Cambridge,
Router Ventures,i8bfntgqslztc8lvpxkz.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/CL2CazRGp2sbsl5in3SrLw/Ifx8qKlEEJLFuFnMAPS8m81ZSENedPEWcCZRzoLEsr-6gUVvPiv0JO-QigAPOz7d/CnNGdwj_8IHONAxaCGv3kvw0XM7DLJEhx88SRy8v8bw),http://www.routerventures.com/,Router Ventures I,"""Omaha, NE""",
S2G Ventures,sybajficeqz0aqcuxwxy.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/lBbPERDw-GYtbpJefLos3Q/KYobgxR-EKIMmHMJcxlnY75TzYuXhhrsY570IRk1XrSxs_zOEWt__n5MCTqxJ_es/em53lM_B_cNwDF-DJD06KdRLhPk121swuBH9e2gviz4),http://www.s2gventures.com/,S2G Ventures I,Chicago,
SaaStr Fund,eo5i5y5ns4idgakcxo0y.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/uaC7G0GadmLoSU79dNKGWA/xXx81tD5OozptjF4iFsxy0zWnwMH9s3-R39Fd1bVY8Za-O0VTw8xpthvl86nKiUO/27nMRLNfFw7UOlnQx6YvEcDjg6Ap8DvBk5xK7HrjYbo),http://www.saastrfund.com/,SaaStr Fund I,SF Bay Area/Silicon Valley,
Scout Ventures,4c0a0ae4bd97027a11651cd78bfda30d.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/X0iWIhgcQfvOTVPamTpeIA/m7QXGyNM6q28ZcVYZSxf9iKbjfg8lAddr_DPkWqTMdp_sei8ZH58Cq77u7gWu71tQeF6PPsz2cjlsz3NWDnhng/Y-LYn01Eufh6Ky6HE28lnNeJa8iejC7vxAIPjq3AMEQ),http://scoutventures.com/,Scout Ventures I,"""New York, NY""",
Seedcamp,celknanwdnrargksenhz.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/65Pj5FjJsf8_lls4xoUvYQ/x1d4Fhapo5OQg7gDDAPyVccZBWle2_7VfWhJ8YLIQrdK2Uia0FyBMtmnVzYSDPc9/gw18O5JPrDlRFSaSdR1DjJemONLfCGNnNHLYb0X6AGM),http://www.seedcamp.com/,Seedcamp III,London,
Sherpa Ventures,gdrp9mwgcy5hiolewcvy.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/g2hGyi63wYGdfq5OhJjr5g/jAoXsYyj5xdDkWRxuFuyYnZcMWbVg1WsfUbBM4FmeS6uZ40b61l-EDZ-BQ5h6hU8/9rwi3jdr_tCkXxKHQVXOwdZRebuuCDyxWgK_qwyyesQ),http://sherpa.com/,"Sherpa Ventures II,Sherpa Ventures I",SF Bay Area/Silicon Valley,
Sierra Ventures,37565e478f19fda82f55b004062468d5.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/HDmugQ7cLixbEsxlPDM_2w/1zJo_bVh37hS3tNm-_P7XHVMJibIiSNDSC1v7NqMC2j_FQMjpLgtBdKxflHL5IiNGHMdynR5puhHpGxQHqYNfg/GczRQHaqbyhxpfHm1ASvt6mot8tdPr6EPzFvuXlBUiQ),http://www.sierraventures.com/,"Sierra Ventures XI,Sierra Ventures X",SF Bay Area/Silicon Valley,
Slow,db46baba5d2d43a43740be898e14485b.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/TtwR1IZtsNIikbKv6AnDDA/9P1UtR6N0yfP5LCqTehN6ssg_HODRYyaSZs0E9LREHZ4K0h4EP2zSO76Sfi1kk1ekkAqQxMWeP_zVrQKyxkOIA/N2VQ4j4NVPPquucBfAnEI4kU-3wHqAE-tNox6Ol20Co),http://www.slow.co/,Slow IV,SF Bay Area/Silicon Valley,
Sofia Fund,,http://sofiafund.com/,Sofia Fund II,"""Minneapolis, MN""",Specifically for women-managed companies
Softtech VC,88d27d0de246751dbbad7b080654af22.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/gsNj9NFf1AVW_2HmvhP26A/yx980arXPM8UF13cpkfbtbCbaAjwrCRbc0CLvPLTDIhF5fe5VsO2G3U1IgeQh3kS3MHvMl8ryeMfTI-mEQ40QQ/P_wfGzs6xLPekHdWKJcR_sf_GEeY-IiVWuzhpGhyjxs),http://www.softtechvc.com/,"Softtech VC V,Softtech VC I,Softtech VC III,Softtech VC IV",SF Bay Area/Silicon Valley,
StageOne Ventures,72de6eeaa1657f0c5c6413a1385ce042.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/53qIr5Cek0XlHHHgYAAJBQ/a9HO0GmxZjDPX3MKe5Dv8HH3Szm9fENABuzp-O1vI0j7KYgz7ynUxNABHFRS21u--YWcMSnlZWy3-dgJmKlyZQ/jsSMg-8UCQI8CMFiKSpStlbRk-SDveSWOEX5ux9sHGY),http://www.stageonevc.com/,StageOne Ventures II,Tel Aviv Metro Area,
State of Mind Ventures,re9wovmumd6iwousyn6u.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/cWL3yWJa7udskRBmU0TrSw/NPxbnDB8nefpHHpF0GaC9wmSTYVwM_gZJ-kodmQtjwgXI12XMTbL_0pLJ7F21_3v/PlI-IABbohoeXiO4KPaas_W4TX6Rz9EtUmPGpnhk-ss),http://www.somv.com/,State of Mind Ventures I,Tel Aviv Metro Area,
Storm Ventures,3bcfc50684d16deb9650136dafc1fda4.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/qHZ0Cxamc1HDxQU9_rdKpw/D90iWUO6rFDlNcZlQGf-bcmFGLcxJqTu8657AuKx4ZlyEVjWztlD2HS-I28UY2UMgLoBmE4CxMmpaWuolPUTBw/skrhsH4ffpsV45Lw5yq2f9iovYuVcO3EaV5gV7o4RJ8),http://stormventures.com/,Storm Ventures V,SF Bay Area/Silicon Valley,
Structure Capital,aquvjrtfml5bmiuzw7dn.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/-FM7chsp9swJ4bdbbtoaXA/qae8s9Nbo_JG65PETaBLZjsLiQczRdaafkSntLK8qaPVQs_-1HcESDZHKq-cSsuO/zFSKaT6J3U3Yd5mTD9iPqQdHV7pOjMu58XWIcarSMqo),http://www.structure.vc/,Structure Capital II,SF Bay Area/Silicon Valley,
Super Ventures,zaqmbbiuawzd2zxogv8c.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/PVEvV7UrXMLYys_Doz4meg/bVusBGLuqDJPwYmf1AS_FoebxxtOm6mpJzIaWlUSpkE-3zxWHwgjgUXMAzy6-kl1/MmsckR9YvUHsrSyMQk4su12Q95m7gCBkkyXl0161KuI),http://www.superventures.com/,Super Ventures I,SF Bay Area/Silicon Valley,
Susa Ventures,337c863d13cb777d5f4ac64aa679b7c2.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/eO400MivuR2n9JM9LGkFGg/2gEDswM2dh1lprdthIW1ITOnpNfKy5jKLmRTrSkNbnDhSdFAwF5nyAgH8m278kBcDJ2q8w_VHQUTW6m57WfmjA/pOvF-HFKQKk0Lz0AAW0-pSyTesGLGif2Y3nt0xcQ1lY),http://www.susaventures.com/,"Susa Ventures II,Susa Ventures I","SF Bay Area/Silicon Valley,Los Angeles,""New York, NY""",
SV Angel,20e0740010dd063a306ed323780065b0.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/JC1HUWBHaUTl4xm4E42WJg/rG8Jaxjn06CenqaNuCh2mXflKkZx2oSZKkbPD9V5KVX07GHnn8v2wao6kxyhkzQEia04F-pLrHebV6xZV_Dimg/ECrPNneR0Kj8cNj_5sGlGpXXERFQ1Q1YRC-YBi5oCmQ),http://svangel.com/,SV Angel IV,SF Bay Area/Silicon Valley,
Techstars Ventures,dsrppikuuefczpjclubm.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/kkFxItpbZH9oK3NDkbmZVw/achUzE00YhefRoVIC9IJAKsLnyzpCh_UaGRSyL_of1iR23Hr-1E5xZmtjLty-MNi/0iJFMHF7OjyutPrdkFjT3SbGu6s8faUOU09ppMSnu7Q),http://techstars.com/ventures,Techstars Ventures III,"""Boulder, CO""",
TenOneTen,d205e6c3d322c1544c0fa3109e9b1ea7.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/UG4I4FdSmfarBN1OcPnJJA/SI3Z_IIABnPC1YlYRiIV8xmu2QsjKQcu-wAtv8LmKJSvqUjyoa7yb25mr71yvTbVJviggO-T-EJYgiNNxbGznQ/kgzs_N6FslYy7iHSyH5jBb5-svxgW52-ByKGHa-tD9w),http://tenoneten.net/,TenOneTen I,Los Angeles,
Thrive,vxbny8b3elsusdxbiap3.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/XcdOdZe2VspMzhSde6IFxQ/9vWfdauNCZjqvyoauPJzBTyBIKG5G1gncoe0IpmJrVRKKotARp0dkf3K84MorDkT/_ngesn9Nlj7h4SElaw0TyY8pEmWse2R8Q2wKWsC3PVY),http://thrivecap.com/,Thrive III,"""New York, NY""",
TLV Partners,fngwm7xndkqyeegesypu.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/P-Oco16_qFvWEcO5CrFYpQ/YcmB3HsFq9VTycmYPfPq2PIGZsN_Xd_GpYawkHgRMGrmZp60QzBUat9flZFmKe4W/FN-BkIOx7gtSrDXj5hn9TCmCBlSnfUdAtmbsFClRE1c),http://www.tlv.partners/,TLV Partners I,Tel Aviv Metro Area,
Tribeca Venture Partners,zzajkx36s50mz8vi0vkk.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/RCE4eAZE_UuudTkzNkrOlg/ETTH6czL30LuZyaRFB9D-DEdAkZ_lUsr28RCIT3uMLhv3kVoepd6G_2UKLqJu0Mm/jnDuIinbf6VXtTTBLn5_SZuV8Clew0GlQAbntNVTdz0),http://www.tribecavp.com/,"Tribeca Venture Partners II,Tribeca Venture Partners I","""New York, NY""",
Tullis Growth Fund,ea137b479c53179ba2f9bcf9814dea3b.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/KiUphQkJ0w_tt28oghKLnw/pwUL2GGrV9bsqx_S7cN6BHi39pjkC-50CWrvhfNhMuUbb7cDwSKInX_pqoMWl9cJPWDPyGWFI1dsvvRxB7M3Jw/mXgKDvaHeoID_Z1_xionsT5o7T54X6aTOwtk8rbTctE),http://www.tullisfunds.com/funds/tg-tullis-growth,Tullis Growth Fund I,"Beijing,""Greenwich, CT"",""Palm Beach Gardens, FL""",
Twilio Fund,a11a490b6bd05d843b4371f580b93f11.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/1eCwDGOe6reIbGGE1eY6tg/ZkKN5TTJ0ZEaiM4E_upLs1ZqyPLxISarZ7fZdX1nj2-RCgIc-p-KtrC8MVL8gZYcbT6GyBuYTXZmwqcFmojBJQ/BLiGUsmuUrO9IPYZoUC15NK_1NqIZNUg7UkMXegFzQk),https://www.twilio.com/fund,Twilio Fund I,SF Bay Area/Silicon Valley,
