Name,Logo,Site,Funding Rounds,Location(s),Notes
Bowery Capital,7c99758bb96b7c2b8d84563d511a81cc.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/TDi-FtqvLPIGds-XtTPdag/udpCzP7gZTmqtohk7UDE5QQ4eabwaY4Rv2ApTwX84fWYkpK6iD-snhwMgTkcWtCzRTCPhB_nZo9DFlbNe8lO_w/DqkT5GCk909CaeX6WdMStdbcoez1Wi-jmMLwnEDCsOw),http://www.bowerycap.com/,Bowery Capital I,"""New York, NY""",
Brooklyn Bridge Ventures,ce27b59a3ca06ccb60d9353ffb60be3e.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/aYCK2FWUksvF8QBndU54AQ/txPCjE0QcKbt2d7Nhfa8ay-wb2I1tnNWR8x0w0UxYaZdEPi-MHxtuu_nYtqap56PSFoqQ8kGnZ1MloD8QFG1mQ/Vb4l52NBK_0rcPGvElWfLB4FhrhQ9Jv41dfm883E8gk),http://brooklynbridge.vc/,"Brooklyn Bridge Ventures II,Brooklyn Bridge Ventures II,Brooklyn Bridge Ventures I","""New York, NY""",
Bryant Stibel,o1bcuj40a8m5glrwmhu9.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/ndGEqygm6dNAEK-Eoa4fZA/HM1BE523czSLa5pWkO7bWFpU6zJDWWz0VKNv1aMeFBwfECiscsxdy6TSbv5TljgT/So9I8l3vNrt7eAGQmcEYR87elTdveaCLaqqSLdlpE30),http://www.bryantstibel.com/,Bryant Stibel I,Los Angeles,
Bull City Venture Partners,4538497c4fb5f773e3ebaedbd2494820.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/62u6pzQlxtEaJgdpHisLug/iCB6gZ7Ftiuhgvm9NUokAXeHpzM-2EW6lWyOq8_Q22lf6Huw2uy8DV5OwzLLvq9hEB7OSCU0HBr8R3THbQ-ZSA/UxPM2ZSzUZqXxLcSyWbjPlSn1nJx25GVWS9W7n0u5SI),http://www.bcvp.com/,Bull City Venture Partners I,"""Durham, NC""",
Bullpen,425e57daf38f41914df1c1c1e14a9caa.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/48rV4hJqSYJU1bflJUInGA/8vf5ptp8VZFZJNKfzB1V8DJcZjUO3L84urvfiGgQz1WYEzJbNEHxr00TGCmyTN3IuoaJ1p5kUacr7oygO13yGg/lfNxMCcymBT2YSjxTPUdEaXc9PwfdTXiXqt715yGYCI),http://bullpencap.com/,Bullpen III,SF Bay Area/Silicon Valley,
Canvas Fund,xmudzqztbzsflgtw3lcr.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/V9dHVgCJQ_fEpSkazssVhA/ZtDtIDbbLUuZsEQD15mgfcUIqwGBY_J6B9XpPgNAnepzyZLI1TpoXk7KeHSvO0-B/X5hTLPLSKCz_VBeewqUyZ7Sdo6KGsp1nhd1lqjQNlXg),http://www.canvas.vc/,Canvas Fund I,SF Bay Area/Silicon Valley,
Capital Partners,ecdd9db5795446f582c0ba6d1c8e3c90.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/m0NuyG6RRdxDfg4qBQo-pw/AW5S1OA3ldzPc3w9GmGbRwtOU5ILarRe4vKumQ91TQ1KTqlw6vF6WC36DaUJxB0A6y7HIJCgmAfiMx_w3oYEHQ/w9x4ODykSW2PaWi-DFRlqlNDwKMGJEjpgtHzQRNH1vo),http://capitalpartners.com/,Capital Partners I,SF Bay Area/Silicon Valley,
Carmel Ventures,e281da65cd7ad55dbd5dd8d0b5cdc8a6.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/0fWWIP-MiSdoQcdLS48AQA/3AThpKZl4-AM2Nq9lqd-J-Dkl0npo32K45VLX7NXnDj1JPRorg0ZjZMGSXEhqbHzxt5nhqDWncMwDmAvszp99g/m48Drbjn2hOgSeLEeuPbaWxMNaRMgcM4nmvSe5w8UEI),http://www.viola-group.com/Carmelventures,Carmel Ventures IV,Tel Aviv Metro Area,
Causeway Media Partners,yqnzdes5padzp1im6cdu.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/DRBpGm4fr6FsSdp0H-md4Q/-0mDtpa3DxoTnTP4rLr4_F5WnsOdKzE8TVZlpC-ktMax0iDThAG0j6tY4ghX9dJr/t3HPM82ifeVQVBaJt5t3ZoJ6Z1oEFJKXpd9cQK8uj4s),http://www.causewaymp.com/,"Causeway Media Partners I,Causeway Media Partners I",Boston/Cambridge,
Cendana Capital,vgvsz3rcngvtehk8ekvp.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/BESNw0ao70LRInp0FRs4LA/BufwT7q7cFNI2I_EPy1myCJGi6XdzKr-VY16oFeexpoe6_lGos6UEaLAEBr7w4B7/fLPfIa0wEKtV4sDqyJTjT4vFPfNXWR-EXqOA6thAo5Q),http://www.cendanacapital.com/,"Cendana Capital II,Cendana Capital I",SF Bay Area/Silicon Valley,
Chicago Ventures,b904056ca63e4caa71ed8593dd08dc64.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/vlgK1Fw4CuNjZVJeFr9BkQ/1AWzoJerXEybFTVb4-As0vWfPLntOylht8Rpk6RsUBXQ7TGHYP9IWfcMKv59YJh_XoA09kbgTcFNBToIeAiJuw/x36jVqsYRPUOKBDHFlcdQB26CD04hXhgjL7eBbrUeRQ),http://chicagoventures.com/,Chicago Ventures II,Chicago,
Chrysalix Venture Capital,owdtnijli3copj4nd8u1.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/hL4Y4wLBky0QvMsB-GdjTg/WXt4eY9KfWWKfD-m1lrsKaldMmSjLjZo-8uS5jT_h5VJNfkiZA_yE4OlUTQtc-_6/JcKYDbeKdE7lx-31n_f1579T2930WyKAeYSf1hTX6To),http://www.chrysalix.com/,Chrysalix Venture Capital I,Vancouver,
Clear Ventures,tabiok2vhfvcdt2ibxyk.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/xsIGpRbdAafxmioU3_jZXw/6Nd-Xlc7J_5FaH9cW3m8-4sdTQYghO0QJ0IzsG-cJsR11-ef210efrLCT46Ls01o/ld9a_2xrlAenCcsvaowF_RwvHxfk02jGy8HHVm13Kgo),http://clear.ventures/,Clear Ventures I,SF Bay Area/Silicon Valley,
